L,mc,T,Jhash,observable,parameter,value
32,1,0.900000,352c5017,"Correlation",1,0.421637
32,1,0.900000,352c5017,"Correlation",2,0.370730
32,1,0.900000,352c5017,"Correlation",3,0.335417
32,1,0.900000,352c5017,"Correlation",4,0.311736
32,1,0.900000,352c5017,"Correlation",5,0.295448
32,1,0.900000,352c5017,"Correlation",6,0.283285
32,1,0.900000,352c5017,"Correlation",7,0.271897
32,1,0.900000,352c5017,"Correlation",8,0.264913
32,1,0.900000,352c5017,"Correlation",9,0.256109
32,1,0.900000,352c5017,"Correlation",10,0.249419
32,1,0.900000,352c5017,"Correlation",12,0.239859
32,1,0.900000,352c5017,"Correlation",14,0.231341
32,1,0.900000,352c5017,"Correlation",16,0.226205
32,1,0.900000,352c5017,"Correlation",19,0.216945
32,1,0.900000,352c5017,"Correlation",22,0.210711
32,1,0.900000,352c5017,"Correlation",25,0.204526
32,1,0.900000,352c5017,"Correlation",29,0.197963
32,1,0.900000,352c5017,"Correlation",33,0.192104
32,1,0.900000,352c5017,"Correlation",39,0.185073
32,1,0.900000,352c5017,"Correlation",44,0.181661
32,1,0.900000,352c5017,"Correlation",51,0.174648
32,1,0.900000,352c5017,"Correlation",59,0.170163
32,1,0.900000,352c5017,"Correlation",68,0.162377
32,1,0.900000,352c5017,"Correlation",79,0.159627
32,1,0.900000,352c5017,"Correlation",91,0.156971
32,1,0.900000,352c5017,"Correlation",104,0.149908
32,1,0.900000,352c5017,"Correlation",120,0.144810
32,1,0.900000,352c5017,"Correlation",138,0.138137
32,1,0.900000,352c5017,"Correlation",159,0.133548
32,1,0.900000,352c5017,"Correlation",184,0.129743
32,1,0.900000,352c5017,"Correlation",212,0.124515
32,1,0.900000,352c5017,"Correlation",244,0.119513
32,1,0.900000,352c5017,"Correlation",281,0.114473
32,1,0.900000,352c5017,"Correlation",323,0.111895
32,1,0.900000,352c5017,"Correlation",372,0.107172
32,1,0.900000,352c5017,"Correlation",429,0.103771
32,1,0.900000,352c5017,"Correlation",494,0.100484
32,1,0.900000,352c5017,"Correlation",568,0.095607
32,1,0.900000,352c5017,"Correlation",655,0.092117
32,1,0.900000,352c5017,"Correlation",754,0.093587
32,1,0.900000,352c5017,"Correlation",868,0.088344
32,1,0.900000,352c5017,"Correlation",1000,0.087420
32,2,0.900000,352c5017,"Correlation",1,0.618057
32,2,0.900000,352c5017,"Correlation",2,0.545431
32,2,0.900000,352c5017,"Correlation",3,0.500573
32,2,0.900000,352c5017,"Correlation",4,0.477240
32,2,0.900000,352c5017,"Correlation",5,0.452718
32,2,0.900000,352c5017,"Correlation",6,0.439372
32,2,0.900000,352c5017,"Correlation",7,0.423878
32,2,0.900000,352c5017,"Correlation",8,0.411970
32,2,0.900000,352c5017,"Correlation",9,0.400420
32,2,0.900000,352c5017,"Correlation",10,0.391552
32,2,0.900000,352c5017,"Correlation",12,0.377470
32,2,0.900000,352c5017,"Correlation",14,0.366984
32,2,0.900000,352c5017,"Correlation",16,0.357861
32,2,0.900000,352c5017,"Correlation",19,0.344209
32,2,0.900000,352c5017,"Correlation",22,0.333839
32,2,0.900000,352c5017,"Correlation",25,0.325951
32,2,0.900000,352c5017,"Correlation",29,0.315063
32,2,0.900000,352c5017,"Correlation",33,0.306481
32,2,0.900000,352c5017,"Correlation",39,0.294111
32,2,0.900000,352c5017,"Correlation",44,0.289740
32,2,0.900000,352c5017,"Correlation",51,0.279300
32,2,0.900000,352c5017,"Correlation",59,0.272571
32,2,0.900000,352c5017,"Correlation",68,0.262846
32,2,0.900000,352c5017,"Correlation",79,0.255926
32,2,0.900000,352c5017,"Correlation",91,0.250041
32,2,0.900000,352c5017,"Correlation",104,0.242780
32,2,0.900000,352c5017,"Correlation",120,0.233596
32,2,0.900000,352c5017,"Correlation",138,0.223290
32,2,0.900000,352c5017,"Correlation",159,0.216262
32,2,0.900000,352c5017,"Correlation",184,0.208993
32,2,0.900000,352c5017,"Correlation",212,0.200376
32,2,0.900000,352c5017,"Correlation",244,0.191851
32,2,0.900000,352c5017,"Correlation",281,0.186675
32,2,0.900000,352c5017,"Correlation",323,0.180844
32,2,0.900000,352c5017,"Correlation",372,0.174450
32,2,0.900000,352c5017,"Correlation",429,0.167292
32,2,0.900000,352c5017,"Correlation",494,0.164408
32,2,0.900000,352c5017,"Correlation",568,0.158305
32,2,0.900000,352c5017,"Correlation",655,0.152597
32,2,0.900000,352c5017,"Correlation",754,0.149879
32,2,0.900000,352c5017,"Correlation",868,0.145296
32,2,0.900000,352c5017,"Correlation",1000,0.142067
32,3,0.900000,352c5017,"Correlation",1,0.704910
32,3,0.900000,352c5017,"Correlation",2,0.641636
32,3,0.900000,352c5017,"Correlation",3,0.600133
32,3,0.900000,352c5017,"Correlation",4,0.577146
32,3,0.900000,352c5017,"Correlation",5,0.550871
32,3,0.900000,352c5017,"Correlation",6,0.538597
32,3,0.900000,352c5017,"Correlation",7,0.517936
32,3,0.900000,352c5017,"Correlation",8,0.507496
32,3,0.900000,352c5017,"Correlation",9,0.495047
32,3,0.900000,352c5017,"Correlation",10,0.487520
32,3,0.900000,352c5017,"Correlation",12,0.472217
32,3,0.900000,352c5017,"Correlation",14,0.458949
32,3,0.900000,352c5017,"Correlation",16,0.447277
32,3,0.900000,352c5017,"Correlation",19,0.431054
32,3,0.900000,352c5017,"Correlation",22,0.419535
32,3,0.900000,352c5017,"Correlation",25,0.407895
32,3,0.900000,352c5017,"Correlation",29,0.396014
32,3,0.900000,352c5017,"Correlation",33,0.387097
32,3,0.900000,352c5017,"Correlation",39,0.372928
32,3,0.900000,352c5017,"Correlation",44,0.366013
32,3,0.900000,352c5017,"Correlation",51,0.353521
32,3,0.900000,352c5017,"Correlation",59,0.344529
32,3,0.900000,352c5017,"Correlation",68,0.333418
32,3,0.900000,352c5017,"Correlation",79,0.323065
32,3,0.900000,352c5017,"Correlation",91,0.316264
32,3,0.900000,352c5017,"Correlation",104,0.307809
32,3,0.900000,352c5017,"Correlation",120,0.295306
32,3,0.900000,352c5017,"Correlation",138,0.284433
32,3,0.900000,352c5017,"Correlation",159,0.274475
32,3,0.900000,352c5017,"Correlation",184,0.266517
32,3,0.900000,352c5017,"Correlation",212,0.255761
32,3,0.900000,352c5017,"Correlation",244,0.246736
32,3,0.900000,352c5017,"Correlation",281,0.238979
32,3,0.900000,352c5017,"Correlation",323,0.230007
32,3,0.900000,352c5017,"Correlation",372,0.224016
32,3,0.900000,352c5017,"Correlation",429,0.215608
32,3,0.900000,352c5017,"Correlation",494,0.211196
32,3,0.900000,352c5017,"Correlation",568,0.203331
32,3,0.900000,352c5017,"Correlation",655,0.197065
32,3,0.900000,352c5017,"Correlation",754,0.191749
32,3,0.900000,352c5017,"Correlation",868,0.184608
32,3,0.900000,352c5017,"Correlation",1000,0.181292
32,4,0.900000,352c5017,"Correlation",1,0.748088
32,4,0.900000,352c5017,"Correlation",2,0.697789
32,4,0.900000,352c5017,"Correlation",3,0.657572
32,4,0.900000,352c5017,"Correlation",4,0.640064
32,4,0.900000,352c5017,"Correlation",5,0.609945
32,4,0.900000,352c5017,"Correlation",6,0.598217
32,4,0.900000,352c5017,"Correlation",7,0.578296
32,4,0.900000,352c5017,"Correlation",8,0.568865
32,4,0.900000,352c5017,"Correlation",9,0.556513
32,4,0.900000,352c5017,"Correlation",10,0.548976
32,4,0.900000,352c5017,"Correlation",12,0.532915
32,4,0.900000,352c5017,"Correlation",14,0.517026
32,4,0.900000,352c5017,"Correlation",16,0.503959
32,4,0.900000,352c5017,"Correlation",19,0.488528
32,4,0.900000,352c5017,"Correlation",22,0.475891
32,4,0.900000,352c5017,"Correlation",25,0.462513
32,4,0.900000,352c5017,"Correlation",29,0.449501
32,4,0.900000,352c5017,"Correlation",33,0.439165
32,4,0.900000,352c5017,"Correlation",39,0.426999
32,4,0.900000,352c5017,"Correlation",44,0.415815
32,4,0.900000,352c5017,"Correlation",51,0.404419
32,4,0.900000,352c5017,"Correlation",59,0.395159
32,4,0.900000,352c5017,"Correlation",68,0.381606
32,4,0.900000,352c5017,"Correlation",79,0.370088
32,4,0.900000,352c5017,"Correlation",91,0.360773
32,4,0.900000,352c5017,"Correlation",104,0.351193
32,4,0.900000,352c5017,"Correlation",120,0.339870
32,4,0.900000,352c5017,"Correlation",138,0.327084
32,4,0.900000,352c5017,"Correlation",159,0.315967
32,4,0.900000,352c5017,"Correlation",184,0.305551
32,4,0.900000,352c5017,"Correlation",212,0.294407
32,4,0.900000,352c5017,"Correlation",244,0.284482
32,4,0.900000,352c5017,"Correlation",281,0.275010
32,4,0.900000,352c5017,"Correlation",323,0.265471
32,4,0.900000,352c5017,"Correlation",372,0.259245
32,4,0.900000,352c5017,"Correlation",429,0.250035
32,4,0.900000,352c5017,"Correlation",494,0.242839
