mc,tw,t,T,E,C
1,1,0,0.00000000e+00,-9.29051959e-01,1
11,1,10,0.00000000e+00,-9.29051959e-01,9.93838356e-01
258,1,257,0.00000000e+00,-9.29051959e-01,9.96093750e-01
506,1,505,0.00000000e+00,-9.29051959e-01,9.94035993e-01
753,1,752,0.00000000e+00,-9.29051959e-01,9.96233259e-01
1001,1,1000,0.00000000e+00,-9.29051959e-01,9.93745350e-01
3,3,0,0.00000000e+00,-9.29051959e-01,1
13,3,10,0.00000000e+00,-9.29051959e-01,9.93838356e-01
260,3,257,0.00000000e+00,-9.29051959e-01,9.95779855e-01
508,3,505,0.00000000e+00,-9.29051959e-01,9.93873233e-01
755,3,752,0.00000000e+00,-9.29051959e-01,9.95965867e-01
1003,3,1000,0.00000000e+00,-9.29051959e-01,9.93931362e-01
10,10,0,0.00000000e+00,-9.29051959e-01,1
20,10,10,0.00000000e+00,-9.29051959e-01,9.93477958e-01
267,10,257,0.00000000e+00,-9.29051959e-01,9.96047247e-01
515,10,505,0.00000000e+00,-9.29051959e-01,9.93908110e-01
762,10,752,0.00000000e+00,-9.29051959e-01,9.95872861e-01
1010,10,1000,0.00000000e+00,-9.29051959e-01,9.93966239e-01
31,31,0,0.00000000e+00,-9.29051959e-01,1
41,31,10,0.00000000e+00,-9.29051959e-01,9.93687221e-01
288,31,257,0.00000000e+00,-9.29051959e-01,9.95884487e-01
536,31,505,0.00000000e+00,-9.29051959e-01,9.93966239e-01
783,31,752,0.00000000e+00,-9.29051959e-01,9.96035621e-01
1031,31,1000,0.00000000e+00,-9.29051959e-01,9.93815104e-01
100,100,0,0.00000000e+00,-9.29051959e-01,1
110,100,10,0.00000000e+00,-9.29051959e-01,9.93629092e-01
357,100,257,0.00000000e+00,-9.29051959e-01,9.96105376e-01
605,100,505,0.00000000e+00,-9.29051959e-01,9.93815104e-01
852,100,752,0.00000000e+00,-9.29051959e-01,9.95965867e-01
1100,100,1000,0.00000000e+00,-9.29051959e-01,9.93873233e-01
1,1,0,1.00000000e-01,-9.08234127e-01,1
11,1,10,1.00000000e-01,-9.08234127e-01,9.93047805e-01
258,1,257,1.00000000e-01,-9.08234127e-01,9.95826358e-01
506,1,505,1.00000000e-01,-9.08234127e-01,9.93047805e-01
753,1,752,1.00000000e-01,-9.08234127e-01,9.96105376e-01
1001,1,1000,1.00000000e-01,-9.08234127e-01,9.93547712e-01
3,3,0,1.00000000e-01,-9.08234127e-01,1
13,3,10,1.00000000e-01,-9.08234127e-01,9.92931548e-01
260,3,257,1.00000000e-01,-9.08234127e-01,9.95256696e-01
508,3,505,1.00000000e-01,-9.08234127e-01,9.92640904e-01
755,3,752,1.00000000e-01,-9.08234127e-01,9.95593843e-01
1003,3,1000,1.00000000e-01,-9.08234127e-01,9.93454706e-01
10,10,0,1.00000000e-01,-9.08234127e-01,1
20,10,10,1.00000000e-01,-9.08234127e-01,9.92943173e-01
267,10,257,1.00000000e-01,-9.08234127e-01,9.95535714e-01
515,10,505,1.00000000e-01,-9.08234127e-01,9.92896670e-01
762,10,752,1.00000000e-01,-9.08234127e-01,9.95884487e-01
1010,10,1000,1.00000000e-01,-9.08234127e-01,9.93512835e-01
31,31,0,1.00000000e-01,-9.08234127e-01,1
41,31,10,1.00000000e-01,-9.08234127e-01,9.93140811e-01
288,31,257,1.00000000e-01,-9.08234127e-01,9.95814732e-01
536,31,505,1.00000000e-01,-9.08234127e-01,9.92966425e-01
783,31,752,1.00000000e-01,-9.08234127e-01,9.96093750e-01
1031,31,1000,1.00000000e-01,-9.08234127e-01,9.93547712e-01
100,100,0,1.00000000e-01,-9.08234127e-01,1
110,100,10,1.00000000e-01,-9.08234127e-01,9.93419829e-01
357,100,257,1.00000000e-01,-9.08234127e-01,9.95744978e-01
605,100,505,1.00000000e-01,-9.08234127e-01,9.93047805e-01
852,100,752,1.00000000e-01,-9.08234127e-01,9.95989118e-01
1100,100,1000,1.00000000e-01,-9.08234127e-01,9.93663969e-01
1,1,0,2.00000000e-01,-9.33128720e-01,1
11,1,10,2.00000000e-01,-9.33128720e-01,9.95454334e-01
258,1,257,2.00000000e-01,-9.33128720e-01,9.97360956e-01
506,1,505,2.00000000e-01,-9.33128720e-01,9.95547340e-01
753,1,752,2.00000000e-01,-9.33128720e-01,9.97314453e-01
1001,1,1000,2.00000000e-01,-9.33128720e-01,9.95570592e-01
3,3,0,2.00000000e-01,-9.33128720e-01,1
13,3,10,2.00000000e-01,-9.33128720e-01,9.95558966e-01
260,3,257,2.00000000e-01,-9.33128720e-01,9.97349330e-01
508,3,505,2.00000000e-01,-9.33128720e-01,9.95605469e-01
755,3,752,2.00000000e-01,-9.33128720e-01,9.97349330e-01
1003,3,1000,2.00000000e-01,-9.33128720e-01,9.95605469e-01
10,10,0,2.00000000e-01,-9.33128720e-01,1
20,10,10,2.00000000e-01,-9.33128720e-01,9.95500837e-01
267,10,257,2.00000000e-01,-9.33128720e-01,9.97419085e-01
515,10,505,2.00000000e-01,-9.33128720e-01,9.95547340e-01
762,10,752,2.00000000e-01,-9.33128720e-01,9.97419085e-01
1010,10,1000,2.00000000e-01,-9.33128720e-01,9.95547340e-01
31,31,0,2.00000000e-01,-9.33128720e-01,1
41,31,10,2.00000000e-01,-9.33128720e-01,9.95500837e-01
288,31,257,2.00000000e-01,-9.33128720e-01,9.97360956e-01
536,31,505,2.00000000e-01,-9.33128720e-01,9.95547340e-01
783,31,752,2.00000000e-01,-9.33128720e-01,9.97360956e-01
