mc,tw,t,T,μSD,σSD
1,1,0,1.50000000e+00,1.59568098e+01,2.61472129e+00
3,1,2,1.50000000e+00,1.56322527e+00,2.20968737e-01
11,1,10,1.50000000e+00,1.68967192e+00,7.42811923e-01
2,2,0,1.50000000e+00,7.13320113e+00,1.63274555e+00
4,2,2,1.50000000e+00,1.57567154e+00,2.35219734e-01
12,2,10,1.50000000e+00,1.58745968e+00,8.01958865e-01
3,3,0,1.50000000e+00,1.55406550e+00,2.23505252e-01
5,3,2,1.50000000e+00,1.01906470e+00,1.65797667e-01
13,3,10,1.50000000e+00,1.81138067e+00,7.64048396e-01
4,4,0,1.50000000e+00,1.57346577e+00,2.30545104e-01
6,4,2,1.50000000e+00,8.95182233e-01,1.43430264e-01
14,4,10,1.50000000e+00,9.12547171e-01,1.49952539e-01
5,5,0,1.50000000e+00,1.02808582e+00,1.72005114e-01
7,5,2,1.50000000e+00,6.27414628e-01,8.18557083e-02
15,5,10,1.50000000e+00,8.66168092e-01,1.54590505e-01
7,7,0,1.50000000e+00,6.24394619e-01,8.03178381e-02
9,7,2,1.50000000e+00,1.04064739e+00,1.78178672e-01
17,7,10,1.50000000e+00,1.49845269e+00,7.23706608e-01
9,9,0,1.50000000e+00,1.04650488e+00,1.77272873e-01
11,9,2,1.50000000e+00,1.72673448e+00,7.97399660e-01
19,9,10,1.50000000e+00,1.37856788e+00,2.02001148e-01
12,12,0,1.50000000e+00,1.53415008e+00,7.66903464e-01
14,12,2,1.50000000e+00,9.02248623e-01,1.54175356e-01
22,12,10,1.50000000e+00,8.82388950e-01,1.52444815e-01
16,16,0,1.50000000e+00,9.10592887e-01,1.56543029e-01
18,16,2,1.50000000e+00,9.38094284e-01,1.41371619e-01
26,16,10,1.50000000e+00,1.28467410e+00,2.07388045e-01
22,22,0,1.50000000e+00,8.84502889e-01,1.49577074e-01
24,22,2,1.50000000e+00,6.65298406e-01,1.23702283e-01
32,22,10,1.50000000e+00,1.54184834e+00,7.56869496e-01
29,29,0,1.50000000e+00,7.06410107e-01,1.10218126e-01
31,29,2,1.50000000e+00,2.26220569e+00,1.02013256e+00
