"mc","physicist","E","T","L"
0.0,"Sergio (replica A)",0.00390625,0.6,8
1.0,"Sergio (replica A)",-0.3502604166666667,0.6,8
2.0,"Sergio (replica A)",-0.4778645833333333,0.6,8
3.0,"Sergio (replica A)",-0.5065104166666666,0.6,8
4.0,"Sergio (replica A)",-0.51171875,0.6,8
5.0,"Sergio (replica A)",-0.5143229166666666,0.6,8
6.0,"Sergio (replica A)",-0.5169270833333334,0.6,8
7.0,"Sergio (replica A)",-0.5377604166666666,0.6,8
8.0,"Sergio (replica A)",-0.53515625,0.6,8
9.0,"Sergio (replica A)",-0.5377604166666666,0.6,8
10.0,"Sergio (replica A)",-0.53515625,0.6,8
11.0,"Sergio (replica A)",-0.5377604166666666,0.6,8
12.0,"Sergio (replica A)",-0.5403645833333334,0.6,8
13.0,"Sergio (replica A)",-0.5377604166666666,0.6,8
14.0,"Sergio (replica A)",-0.5377604166666666,0.6,8
15.0,"Sergio (replica A)",-0.54296875,0.6,8
16.0,"Sergio (replica A)",-0.54296875,0.6,8
17.0,"Sergio (replica A)",-0.54296875,0.6,8
18.0,"Sergio (replica A)",-0.5455729166666666,0.6,8
19.0,"Sergio (replica A)",-0.54296875,0.6,8
20.0,"Sergio (replica A)",-0.5455729166666666,0.6,8
21.0,"Sergio (replica A)",-0.5455729166666666,0.6,8
22.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
23.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
24.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
25.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
26.0,"Sergio (replica A)",-0.54296875,0.6,8
27.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
28.0,"Sergio (replica A)",-0.55078125,0.6,8
29.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
30.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
31.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
32.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
33.0,"Sergio (replica A)",-0.55078125,0.6,8
34.0,"Sergio (replica A)",-0.55078125,0.6,8
35.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
36.0,"Sergio (replica A)",-0.55078125,0.6,8
37.0,"Sergio (replica A)",-0.55078125,0.6,8
38.0,"Sergio (replica A)",-0.5481770833333334,0.6,8
39.0,"Sergio (replica A)",-0.55078125,0.6,8
40.0,"Sergio (replica A)",-0.55078125,0.6,8
41.0,"Sergio (replica A)",-0.55078125,0.6,8
42.0,"Sergio (replica A)",-0.55078125,0.6,8
43.0,"Sergio (replica A)",-0.55078125,0.6,8
44.0,"Sergio (replica A)",-0.55078125,0.6,8
