,mc,parameter,observable,value,T,β(1-C)
0,1,1,Correlation,0.4268888693333331,0.9000000000000099,0.6367901451851785
1,1,2,Correlation,0.372068333333334,0.9000000000000099,0.6977018518518434
2,1,3,Correlation,0.3342228553333337,0.9000000000000099,0.7397523829629544
3,1,4,Correlation,0.31147022999999974,0.9000000000000099,0.7650330777777696
4,1,5,Correlation,0.29377602866666663,0.9000000000000099,0.7846933014814729
5,1,6,Correlation,0.2815130160000001,0.9000000000000099,0.7983188711111022
6,1,7,Correlation,0.2705508493333334,0.9000000000000099,0.8104990562962873
7,1,8,Correlation,0.26246192933333334,0.9000000000000099,0.8194867451851762
8,1,9,Correlation,0.2553198006666667,0.9000000000000099,0.8274224437036946
9,1,10,Correlation,0.2491371453333338,0.9000000000000099,0.8342920607407311
10,1,11,Correlation,0.24356657466666667,0.9000000000000099,0.8404815837036945
11,1,12,Correlation,0.2391174399999999,0.9000000000000099,0.8454250666666575
12,1,13,Correlation,0.2344792979999999,0.9000000000000099,0.8505785577777686
13,1,14,Correlation,0.2309052666666664,0.9000000000000099,0.8545497037036945
14,1,15,Correlation,0.2271231380000002,0.9000000000000099,0.8587520688888792
15,1,16,Correlation,0.22411583599999987,0.9000000000000099,0.8620935155555463
16,1,17,Correlation,0.22083147133333353,0.9000000000000099,0.8657428096296199
17,1,18,Correlation,0.2182807773333334,0.9000000000000099,0.8685769140740645
18,1,20,Correlation,0.21275482466666665,0.9000000000000099,0.8747168614814719
19,1,21,Correlation,0.21044109133333302,0.9000000000000099,0.877287676296287
20,1,23,Correlation,0.20615997066666666,0.9000000000000099,0.8820444770370273
21,1,24,Correlation,0.20398823400000052,0.9000000000000099,0.8844575177777675
22,1,26,Correlation,0.200219374,0.9000000000000099,0.8886451399999902
23,1,28,Correlation,0.19668415466666656,0.9000000000000099,0.8925731614814718
24,1,30,Correlation,0.19370511999999962,0.9000000000000099,0.8958831999999906
25,1,32,Correlation,0.19092212733333383,0.9000000000000099,0.8989754140740637
26,1,35,Correlation,0.18696031199999977,0.9000000000000099,0.9033774311111015
27,1,37,Correlation,0.18469073133333333,0.9000000000000099,0.9058991874073974
28,1,40,Correlation,0.1807813699999999,0.9000000000000099,0.9102429222222123
29,1,43,Correlation,0.17775583733333322,0.9000000000000099,0.9136046251851753
30,1,46,Correlation,0.17518799799999993,0.9000000000000099,0.91645777999999
31,1,49,Correlation,0.17264459199999976,0.9000000000000099,0.9192837866666569
32,1,53,Correlation,0.16961247733333343,0.9000000000000099,0.9226528029629527
33,1,57,Correlation,0.16689324266666652,0.9000000000000099,0.9256741748148049
34,1,61,Correlation,0.1638338219999999,0.9000000000000099,0.9290735311111009
35,1,65,Correlation,0.161647076,0.9000000000000099,0.9315032488888787
36,1,70,Correlation,0.15899367666666653,0.9000000000000099,0.9344514703703602
37,1,75,Correlation,0.15623077533333343,0.9000000000000099,0.9375213607407303
38,1,81,Correlation,0.15363095066666654,0.9000000000000099,0.9404100548148046
39,1,86,Correlation,0.15154626133333343,0.9000000000000099,0.9427263762962859
40,1,93,Correlation,0.14865363933333353,0.9000000000000099,0.9459404007407302
41,1,100,Correlation,0.14610181933333324,0.9000000000000099,0.948775756296286
42,1,107,Correlation,0.1436014413333332,0.9000000000000099,0.9515539540740637
43,1,114,Correlation,0.14164817733333326,0.9000000000000099,0.953724247407397
44,1,123,Correlation,0.13931212533333306,0.9000000000000099,0.9563198607407305
45,1,132,Correlation,0.13675769333333332,0.9000000000000099,0.959158118518508
46,1,141,Correlation,0.13462760333333346,0.9000000000000099,0.9615248851851744
47,1,151,Correlation,0.13230146933333328,0.9000000000000099,0.9641094785185079
48,1,162,Correlation,0.12999304999999997,0.9000000000000099,0.9666743888888784
49,1,174,Correlation,0.12775010999999986,0.9000000000000099,0.969166544444434
50,1,187,Correlation,0.1260092946666666,0.9000000000000099,0.971100783703693
51,1,200,Correlation,0.12407440333333343,0.9000000000000099,0.9732506629629522
52,1,215,Correlation,0.1217509986666666,0.9000000000000099,0.975832223703693
53,1,231,Correlation,0.11958680533333321,0.9000000000000099,0.9782368829629523
54,1,247,Correlation,0.1177274293333333,0.9000000000000099,0.9803028562962857
55,1,265,Correlation,0.11580283600000008,0.9000000000000099,0.9824412933333224
56,1,284,Correlation,0.11391469199999985,0.9000000000000099,0.9845392311111005
57,1,305,Correlation,0.11191790733333334,0.9000000000000099,0.9867578807407298
58,1,327,Correlation,0.11025124799999995,0.9000000000000099,0.9886097244444336
59,1,351,Correlation,0.10853434800000006,0.9000000000000099,0.9905173911111002
60,1,376,Correlation,0.10665699733333328,0.9000000000000099,0.9926033362962854
61,1,403,Correlation,0.10467993533333297,0.9000000000000099,0.9948000718518413
62,1,432,Correlation,0.10283644266666668,0.9000000000000099,0.996848397037026
63,1,464,Correlation,0.10143365599999989,0.9000000000000099,0.998407048888878
64,1,497,Correlation,0.09952243399999999,0.9000000000000099,1.0005306288888778
65,1,533,Correlation,0.09819605066666666,0.9000000000000099,1.002004388148137
66,1,572,Correlation,0.09635093666666665,0.9000000000000099,1.004054514814804
67,1,613,Correlation,0.09497295666666665,0.9000000000000099,1.0055856037036928
68,1,657,Correlation,0.09357998199999984,0.9000000000000099,1.0071333533333224
69,1,705,Correlation,0.09201860666666675,0.9000000000000099,1.0088682148148036
70,1,756,Correlation,0.09048102866666673,0.9000000000000099,1.0105766348148035
71,1,811,Correlation,0.08925706866666669,0.9000000000000099,1.0119365903703592
72,1,869,Correlation,0.08783296333333346,0.9000000000000099,1.0135189296296183
73,1,932,Correlation,0.0863063039999999,0.9000000000000099,1.0152152177777667
74,1,1000,Correlation,0.08457664399999995,0.9000000000000099,1.0171370622222111
75,2,1,Correlation,0.6210053426666666,0.9000000000000099,0.42110517481481025
76,2,2,Correlation,0.5473302393333324,0.9000000000000099,0.5029664007407363
77,2,3,Correlation,0.5024997473333337,0.9000000000000099,0.552778058518512
78,2,4,Correlation,0.47741094866666656,0.9000000000000099,0.5806545014814752
79,2,5,Correlation,0.45288257000000015,0.9000000000000099,0.6079082555555487
80,2,6,Correlation,0.43824627200000016,0.9000000000000099,0.6241708088888818
81,2,7,Correlation,0.42241009933333357,0.9000000000000099,0.6417665562962891
82,2,8,Correlation,0.41257180933333326,0.9000000000000099,0.6526979896296226
83,2,9,Correlation,0.40183011200000046,0.9000000000000099,0.664633208888881
84,2,10,Correlation,0.3938235413333335,0.9000000000000099,0.6735293985185109
85,2,11,Correlation,0.38546614133333384,0.9000000000000099,0.6828153985185105
86,2,12,Correlation,0.37930072333333276,0.9000000000000099,0.6896658629629561
87,2,13,Correlation,0.37240376666666625,0.9000000000000099,0.697329148148141
88,2,14,Correlation,0.3671486886666667,0.9000000000000099,0.7031681237036959
89,2,15,Correlation,0.36191022333333406,0.9000000000000099,0.7089886407407322
90,2,16,Correlation,0.3573877726666666,0.9000000000000099,0.7140135859259182
91,2,17,Correlation,0.3524027759999995,0.9000000000000099,0.7195524711111038
92,2,18,Correlation,0.34859931066666694,0.9000000000000099,0.7237785437036954
93,2,20,Correlation,0.3407476533333334,0.9000000000000099,0.7325026074073994
94,2,21,Correlation,0.33713975466666696,0.9000000000000099,0.7365113837036952
95,2,23,Correlation,0.33046118266666696,0.9000000000000099,0.7439320192592507
96,2,24,Correlation,0.32801599066666626,0.9000000000000099,0.7466488992592516
97,2,26,Correlation,0.32210452200000017,0.9000000000000099,0.7532171977777693
98,2,28,Correlation,0.3169088646666662,0.9000000000000099,0.7589901503703625
99,2,30,Correlation,0.3122477680000003,0.9000000000000099,0.7641691466666579
100,2,32,Correlation,0.3080115213333335,0.9000000000000099,0.7688760874073989
101,2,35,Correlation,0.30156250066666684,0.9000000000000099,0.7760416659259172
102,2,37,Correlation,0.2979583426666663,0.9000000000000099,0.7800462859259177
103,2,40,Correlation,0.29274093533333373,0.9000000000000099,0.7858434051851761
104,2,43,Correlation,0.28826163800000054,0.9000000000000099,0.790820402222213
105,2,46,Correlation,0.28396578266666683,0.9000000000000099,0.7955935748148059
106,2,49,Correlation,0.2799872259999998,0.9000000000000099,0.8000141933333247
107,2,53,Correlation,0.2751560026666665,0.9000000000000099,0.8053822192592506
108,2,57,Correlation,0.27061235466666694,0.9000000000000099,0.8104307170370277
109,2,61,Correlation,0.2663034460000002,0.9000000000000099,0.8152183933333241
110,2,65,Correlation,0.2626461966666667,0.9000000000000099,0.8192820037036946
111,2,70,Correlation,0.25868849733333327,0.9000000000000099,0.8236794474073985
112,2,75,Correlation,0.25447433533333325,0.9000000000000099,0.8283618496296207
113,2,81,Correlation,0.2501510386666667,0.9000000000000099,0.8331655125925833
114,2,86,Correlation,0.24697892666666685,0.9000000000000099,0.8366900814814721
115,2,93,Correlation,0.2424608106666664,0.9000000000000099,0.8417102103703614
116,2,100,Correlation,0.2385367146666661,0.9000000000000099,0.8460703170370283
117,2,107,Correlation,0.23478570866666684,0.9000000000000099,0.8502381014814719
118,2,114,Correlation,0.23174999866666668,0.9000000000000099,0.8536111125925832
119,2,123,Correlation,0.22786310266666673,0.9000000000000099,0.8579298859259163
120,2,132,Correlation,0.22397148933333305,0.9000000000000099,0.8622539007407315
121,2,141,Correlation,0.2205545679999999,0.9000000000000099,0.8660504799999906
122,2,151,Correlation,0.2168344433333334,0.9000000000000099,0.8701839518518423
123,2,162,Correlation,0.21310763399999968,0.9000000000000099,0.8743248511111019
124,2,174,Correlation,0.20996464466666623,0.9000000000000099,0.8778170614814723
125,2,187,Correlation,0.20670621333333372,0.9000000000000099,0.8814375407407307
126,2,200,Correlation,0.20358073400000032,0.9000000000000099,0.8849102955555455
127,2,215,Correlation,0.2002296693333334,0.9000000000000099,0.8886337007407309
128,2,231,Correlation,0.196774033333333,0.9000000000000099,0.8924732962962869
129,2,247,Correlation,0.193877979333333,0.9000000000000099,0.8956911340740646
130,2,265,Correlation,0.19074268000000005,0.9000000000000099,0.8991747999999901
131,2,284,Correlation,0.1878746266666664,0.9000000000000099,0.9023615259259162
132,2,305,Correlation,0.18453944199999997,0.9000000000000099,0.9060672866666568
133,2,327,Correlation,0.18157775733333348,0.9000000000000099,0.9093580474073972
134,2,351,Correlation,0.1785817146666669,0.9000000000000099,0.9126869837036935
135,2,376,Correlation,0.1758175853333333,0.9000000000000099,0.9157582385185086
136,2,403,Correlation,0.17272742533333357,0.9000000000000099,0.9191917496296194
137,2,432,Correlation,0.17024155933333335,0.9000000000000099,0.9219538229629529
138,2,464,Correlation,0.16768649933333316,0.9000000000000099,0.9247927785185086
139,2,497,Correlation,0.16456932466666668,0.9000000000000099,0.9282563059259158
140,2,533,Correlation,0.1623826820000001,0.9000000000000099,0.9306859088888786
141,2,572,Correlation,0.1593476026666665,0.9000000000000099,0.9340582192592491
142,2,613,Correlation,0.1572848373333335,0.9000000000000099,0.9363501807407302
143,2,657,Correlation,0.15505754333333316,0.9000000000000099,0.9388249518518417
