,mc,parameter,observable,value,T,β(1-C)
0,1,1,Correlation,0.860398547333332,0.5,0.279202905333336
1,1,2,Correlation,0.8674750793333332,0.5,0.26504984133333354
2,1,3,Correlation,0.8554283286666667,0.5,0.2891433426666665
3,1,4,Correlation,0.8734688733333332,0.5,0.25306225333333354
4,1,5,Correlation,0.844976677999999,0.5,0.31004664400000204
5,1,6,Correlation,0.8747636406666675,0.5,0.2504727186666651
6,1,7,Correlation,0.8423983053333337,0.5,0.3152033893333326
7,1,8,Correlation,0.8670091753333339,0.5,0.26598164933333224
8,1,9,Correlation,0.8497141646666668,0.5,0.30057167066666635
9,1,10,Correlation,0.8615734226666675,0.5,0.27685315466666505
10,1,11,Correlation,0.8389195226666674,0.5,0.3221609546666653
11,1,12,Correlation,0.8740724146666649,0.5,0.2518551706666703
12,1,13,Correlation,0.8369873520000009,0.5,0.3260252959999983
13,1,14,Correlation,0.8570755300000005,0.5,0.28584893999999905
14,1,15,Correlation,0.8477160306666671,0.5,0.30456793866666576
15,1,16,Correlation,0.8620665919999988,0.5,0.2758668160000024
16,1,17,Correlation,0.8357095733333335,0.5,0.328580853333333
17,1,18,Correlation,0.864207830666668,0.5,0.2715843386666641
18,1,20,Correlation,0.8608542906666663,0.5,0.2782914186666674
19,1,21,Correlation,0.8446593526666667,0.5,0.3106812946666666
20,1,23,Correlation,0.8336791973333335,0.5,0.332641605333333
21,1,24,Correlation,0.8680135133333318,0.5,0.26397297333333647
22,1,26,Correlation,0.8508418973333333,0.5,0.2983162053333335
23,1,28,Correlation,0.8569334086666661,0.5,0.28613318266666776
24,1,30,Correlation,0.8614451846666671,0.5,0.27710963066666583
25,1,32,Correlation,0.8548901093333319,0.5,0.29021978133333626
26,1,35,Correlation,0.8349690086666652,0.5,0.33006198266666953
27,1,37,Correlation,0.8315224560000003,0.5,0.3369550879999994
28,1,40,Correlation,0.8553010866666692,0.5,0.2893978266666617
29,1,43,Correlation,0.8303087713333329,0.5,0.33938245733333416
30,1,46,Correlation,0.846329358666668,0.5,0.30734128266666394
31,1,49,Correlation,0.8312828593333328,0.5,0.3374342813333344
32,1,53,Correlation,0.8294781793333339,0.5,0.3410436413333322
33,1,57,Correlation,0.8354515106666671,0.5,0.32909697866666576
34,1,61,Correlation,0.828561883333334,0.5,0.34287623333333195
35,1,65,Correlation,0.8293767366666669,0.5,0.3412465266666662
36,1,70,Correlation,0.845279389333334,0.5,0.30944122133333196
37,1,75,Correlation,0.8349197680000012,0.5,0.33016046399999754
